parkinglot_id,parkinglot_name,latitude,longitude,parkinglot_div,parkinglot_type,parkinglot_num,parkinglot_cost,parkinglot_add,parkinglot_time
19975,사비로유료주차장,36.2808628,126.9107236,공영,노상,32,유료,충청남도 부여군 부여읍 구아리 439,"일요일,공휴일 휴무"
19976,사비로유료주차장,36.2808628,126.9107236,공영,노상,32,유료,충청남도 부여군 부여읍 구아리 439,"일요일,공휴일 휴무"
19977,광주역관사앞,35.16433316,126.9106572,공영,노상,45,유료,광주광역시 북구 중흥동 740-4,연중 무휴
19978,광주역관사앞,35.16433316,126.9106572,공영,노상,45,유료,광주광역시 북구 중흥동 740-4,연중 무휴
19979,봉산도시자연공원공영주차장,37.6117455,126.9103894,공영,노외,106,유료,서울특별시 은평구 신사동 산55번지5호,연중 무휴
19980,정자마을 주차장,36.060271,126.910363,공영,노외,15,무료,,연중 무휴
19981,소방파출소,33.4605347,126.9102298,공영,노외,10,무료,제주특별자치도 서귀포시 성산읍 오조리 803-1,연중 무휴
19982,영등포동제1공영주차장,37.5209657,126.9101758,공영,노외,34,유료,서울특별시 영등포구 영등포동2가230-3,공휴일 휴무
19983,성왕로터리노상주차장,36.2836636,126.9101224,공영,노상,39,무료,충청남도 부여군 부여읍 구아리 439,연중 무휴
19984,성왕로터리노상주차장,36.2836636,126.9101224,공영,노상,39,무료,충청남도 부여군 부여읍 구아리 439,연중 무휴
19985,관악역3환승,37.418484,126.9097349,공영,노외,95,유료,경기도 안양시 만안구 석수1동 110-26(좌),"주말,공휴일 휴무"
19986,관악역3환승,37.418484,126.9097349,공영,노외,95,유료,경기도 안양시 만안구 석수1동 110-26(좌),"주말,공휴일 휴무"
19987,서동공원(서문주차장),36.2710129,126.9096943,공영,노외,140,무료,충청남도 부여군 부여읍 동남리 167-1,연중 무휴
19988,서동공원(서문주차장),36.2710129,126.9096943,공영,노외,140,무료,충청남도 부여군 부여읍 동남리 167-1,연중 무휴
19989,석수2동 주민센터 주변,37.414123,126.9096091,공영,노외,98,무료,경기도 안양시 만안구 석수2동 279-38,연중 무휴
19990,석수2동 주민센터 주변,37.414123,126.9096091,공영,노외,98,무료,경기도 안양시 만안구 석수2동 279-38,연중 무휴
19991,박달시장노외,37.4044821,126.9096071,공영,노외,19,유료,경기도 안양시 만안구 박달1동 21-13,"일요일,공휴일 휴무"
19992,박달시장노외,37.4044821,126.9096071,공영,노외,19,유료,경기도 안양시 만안구 박달1동 21-13,"일요일,공휴일 휴무"
19993,박달시장노상,37.40459017,126.909485,공영,노상,19,유료,경기도 안양시 만안구 박달동 21-16,"일요일,공휴일 휴무"
19994,한마음선원뒤,37.4221815,126.9093735,공영,노외,22,무료,경기도 안양시 만안구 석수1동 101-180,연중 무휴
19995,한마음선원뒤,37.4221815,126.9093735,공영,노외,22,무료,경기도 안양시 만안구 석수1동 101-180,연중 무휴
19996,중흥동쌈지,35.15989391,126.9093626,공영,노외,17,무료,광주광역시 북구 중흥동 715-1,연중 무휴
19997,중흥동쌈지,35.15989391,126.9093626,공영,노외,17,무료,광주광역시 북구 중흥동 715-1,연중 무휴
19998,행동마을 주차장,36.058621,126.909359,공영,노외,60,무료,전라북도 익산시 함라면 함열리 264-3,연중 무휴
19999,중흥2동주민센터,35.16828727,126.9092391,공영,노외,9,무료,광주광역시 북구 중흥동 348-24 외 1필지,연중 무휴
20000,중흥2동주민센터,35.16828727,126.9092391,공영,노외,9,무료,광주광역시 북구 348-24,연중 무휴
20001,영등포본동제1공영주차장,37.5143579,126.9091509,공영,노외,194,유료,서울특별시 영등포구 영등포동 592-10,공휴일 휴무
20002,시흥4동,37.4596867,126.9090436,공영,노외,124,유료,서울특별시 금천구 시흥동 704-56,공휴일 휴무
20003,삼성,37.4545448,126.9090029,공영,노외,51,유료,서울특별시 금천구 시흥동 171-1,공휴일 휴무
20004,관악역4환승,37.4197843,126.9086895,공영,노외,122,유료,경기도 안양시 만안구 석수1동 103-1(우),"주말,공휴일 휴무"
20005,관악역4환승,37.4197843,126.9086895,공영,노외,122,유료,경기도 안양시 만안구 석수1동 103-1(우),"주말,공휴일 휴무"
20006,오치1동쌈지,35.18854572,126.9086544,공영,노외,6,무료,광주광역시 북구 오치동 939-3,연중 무휴
20007,오치1동쌈지,35.18854572,126.9086544,공영,노외,6,무료,광주광역시 북구 오치동 939-3,연중 무휴
20008,병목안옛길,37.3906633,126.9086074,공영,노외,23,무료,경기도 안양시 만안구 안양9동 1007,연중 무휴
20009,병목안옛길,37.3906633,126.9086074,공영,노외,23,무료,경기도 안양시 만안구 안양9동 1007,연중 무휴
20010,영등포동제2공영주차장,37.5237358,126.9085562,공영,노외,28,유료,서울특별시 영등포구 영등포7가29-122,공휴일 휴무
20011,구산동마을공원지하공영주차장,37.6147505,126.9084743,공영,노외,77,유료,서울특별시 은평구 구산동 340번지1호,연중 무휴
20012,관악역2환승,37.418638,126.9084514,공영,노외,48,유료,경기도 안양시 만안구 석수2동 262-14,"주말,공휴일 휴무"
20013,관악역2환승,37.418638,126.9084514,공영,노외,48,유료,경기도 안양시 만안구 석수2동 262-14,"주말,공휴일 휴무"
20014,박달1동 주민센터 앞,37.4038108,126.9083881,공영,노외,23,무료,경기도 안양시 만안구 박달1동 46-4,연중 무휴
20015,박달1동 주민센터 앞,37.4038108,126.9083881,공영,노외,23,무료,경기도 안양시 만안구 박달1동 46-4,연중 무휴
